== 环境 ==
{
  "date": "2026-09-14T09:14:22Z",
  "os": "Darwin 22.6.0 x86_64",
  "cpu": "Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz",
  "n_cpu": 8,
  "mem_bytes": 17179869184,
  "rustc": "rustc 1.95.0 (59807616e 2026-04-14)",
  "cargo": "cargo 1.95.0 (f2d3ce0bd 2026-03-21)",
  "python": "Python 3.13.12",
  "repo_root": "/Users/zzq7191/WorkBuddy/svn-copy-ai",
  "scales": "m"
}

== 编译 bench profile ==
    Finished `bench` profile [optimized] target(s) in 0.26s

============================= 档位 m =============================


-- 复用已有 fixture（--reuse）
-- 复制运行副本 → /tmp/b-artifact-fixtures/m-run
-- 压测开始 09:14:26Z：cargo bench --bench m15_bench -- --data-dir /tmp/b-artifact-fixtures/m-run --out /Users/zzq7191/WorkBuddy/svn-copy-ai/bench-results-full-p8/m15-m.json --label m --heavy auto --iterations 25 --budget 12 --concurrency 8,32
    Finished `bench` profile [optimized] target(s) in 0.26s
     Running benches/m15_bench.rs (target/release/deps/m15_bench-808996b77cf64389)
[fixture] repo=bench head_rev=20000 文件 240000 / changes 438800 / 修订 20000 / blob 3000
[env] 采集环境底噪…
[storage] Path-History 核心路径…
[sweep] 查询计划对照（LIKE vs GLOB）+ 候选代价…
[http] 端到端（真实 axum + reqwest）…
[conc] 并发…
[out] JSON 报告已写入 /Users/zzq7191/WorkBuddy/svn-copy-ai/bench-results-full-p8/m15-m.json

## m

fixture：240000 个存活文件 / 20000 修订 / changes 438800 行 / blob 3000 个

### 环境底噪

| 基准 | n | p50 | p95 | p99 | 规模 | 吞吐 | 备注 |
|---|---|---|---|---|---|---|---|
| `file_open_read_close` | 20 | 14us | 139us | 460us | 1566 | - | 打开+读一个已有 blob 文件的固定开销 |
| `sqlite_point_query` | 25 | 1us | 1us | 1us | 1 | - |  |
| `stmt_prepare_uncached` | 2000 | 7us | 12us | 30us | 7 | - | 每次调用重新 prepare（现状：query_row 传 SQL 字面量） |
| `stmt_prepare_cached` | 2000 | 0us | 0us | 0us | 7 | - | 走语句缓存（修复方向：prepare_cached） |
| `stmt_index_lookup` | 2000 | 4us | 4us | 4us | 1 | - | 已 prepare 的点查（含索引查找 + 无匹配） |

### 存储层（直连）

| 基准 | n | p50 | p95 | p99 | 规模 | 吞吐 | 备注 |
|---|---|---|---|---|---|---|---|
| `list_dir_head_root` | 25 | 4us | 20us | 32us | 1 | - |  |
| `list_dir_head_l1` | 25 | 42us | 106us | 106us | 40 | - |  |
| `list_dir_head_l2` | 25 | 48us | 132us | 170us | 40 | - |  |
| `list_dir_head_leaf` | 25 | 11us | 11us | 11us | 10 | - |  |
| `list_dir_at_leaf_head` | 20 | 239us | 241us | 243us | 10 | - |  |
| `list_dir_at_leaf_mid` | 20 | 230us | 302us | 452us | 10 | - |  |
| `list_dir_at_l2_mid` | 20 | 158.0ms | 159.9ms | 160.6ms | 40 | - |  |
| `list_dir_at_root_head` | 1 | 7.43s | 7.43s | 7.43s | 1 | - |  |
| `list_dir_at_l1_mid` | 1 | 6.98s | 6.98s | 6.98s | 40 | - |  |
| `list_dir_at_leaf_head_cslike` | 20 | 243us | 384us | 467us | 10 | - |  |
